PURPOSE Field,PURPOSE FIELD DIRECTOR ,NumberOfDups
CHIEF OVERSGHT INVEST COUNSEL,CHIEF OVERSGHT INVEST COUNSEL  ,2
CHIEF PAGE SUPERVISOR (MAJ),CHIEF PAGE SUPERVISOR MAJORITY  ,2
CHIEF PAGE SUPERVISOR (MIN),CHIEF PAGE SUPERVISOR MINORITY  ,2
CHIEF PUBLIC HELATH COUNSEL,CHIEF PUBLIC HELATH COUNSEL  ,2
CHIEF STATISTICAL ANALYST,CHIEF STATISTICAL ANALYST  ,2
CHIEF TRADE COUNSEL,CHIEF TRADE COUNSEL  ,2
CHIEF WRITER,CHIEF WRITER  ,2
CIO AND ASST CAO HOUSE INFO RES,CIO/ASSISTANT CAO HOUSE INFORMATION RES  ,2
CLERICAL AIDE,CLERICAL AIDE  ,2
CLERK OF THE HOUSE,CLERK OF THE HOUSE  ,2
CLERK TO THE PARLIAMENTARIAN,CLERK TO THE PARLIAMENTARIAN  ,2
CLERK AND LEGISLATIVE ADV-IA (MAJ),CLERK/LEGISLATIVE ADVISOR-IA (MAJORITY)  ,2
CLOAKROOM ATTENDANT,CLOAKROOM ATTENDANT  ,2
CLOAKROOM FOOD MNGR (MAJ) (OVERTIME),CLOAKROOM FOOD MANAGER MAJORITY   ,2
CLOAKROOM FOOD MNGR (MIN) (OVERTIME),CLOAKROOM FOOD MANAGER MINORITY   ,2
COALITIONS AND MEM SVC COORD,COALITIONS AND MEMBER SERVICE COORDINATOR  ,2
COALITIONS DIRECTOR,COALITIONS DIRECTOR  ,2
COMM DIR & WEB CONTENT MGR,COMMUNICATION DIRECTOR AND WEB CONTENT MANAGER  ,2
COMM LIAIS AND IMM & ENV AFF,COMMUNICATION LIAISON/IMMIGRATION AND ENVIRONMENTAL AFFAIRS  ,2
COMM. DIR. AND SR. POLICY ADVISOR,COMMUNICATIONS DIRECTOR/SENIOR  POLICY ADVISOR  ,2
COMMITTEE DIGEST CLERK,COMMITTEE DIGEST CLERK  ,2
COMMITTEE HEARING CLERK,COMMITTEE HEARING CLERK  ,2
COMMITTEE INVESTIGATIVE STAFF,COMMITTEE INVESTIGATIVE STAFF  ,2
COMMITTEE PRINTER AND FC,COMMITTEE PRINTER/FC  ,2
COMMS DIRECTOR AND POLICY AIDE,COMMUNICATIONS DIRECTOR/POLICY AIDE  ,2
COMMUITY DEVEL SPECIALIST,COMMUNITY DEVELOPMENT SPECIALIST  ,2
COMMUN & POLICY DIR,COMMUNICATIONS AND POLICY DIRECTOR  ,2
COMMUN DIR AND DPTY CHF OF STF,COMMUNICATIONS DIRECTOR/DEPUTY CHIEF OF STAFF  ,2
COMMUNIC. DIR. - VICE CHAIR,COMMUNICATIONS DIRECTOR - VICE CHAIR  ,2
COMMUNICATION DIR & POLICY ADV,COMMUNICATION DIRECTOR AND POLICY ADVISOR  ,2
COMMUNICATION AND OUTREACH MGR,COMMUNICATION/OUTREACH MANAGER  ,2
COMMUNICATIONS ANALYST,COMMUNICATIONS ANALYST  ,2
COMMUNICATIONS DIR (STATUTORY),COMMUNICATIONS DIRECTOR (STATUTORY)  ,2
COMMUNICATIONS DIR AND POLICY,COMMUNICATIONS DIRECTOR/POLICY  ,2
COMMUNICATIONS DIRECTOR MIN,COMMUNICATIONS DIRECTOR MINORITY  ,2
COMMUNICATIONS DIRECTOR AND SENIOR,COMMUNICATIONS DIRECTOR/SENIOR  ,2
COMMUNICATIONS MANAGER,COMMUNICATIONS MANAGER  ,2
COMMUNICATIONS SPEC,COMMUNICATIONS SPECIALIST  ,2
COMMUNICATIONS STAFF ASSISTANT,COMMUNICATIONS STAFF ASSISTANT  ,2
COMMUNITY COORDINATOR,COMMUNITY COORDINATOR  ,2
COMMUNITY DEV & POLICY ANALYST,COMMUNITY DEVELOPMENT AND POLICY ANALYST  ,2
COMMUNITY DEVELOPMENT COORD,COMMUNITY DEVELOPMENT COORDINATOR  ,2
COMMUNITY DEVELOPMENT DIRECTOR,COMMUNITY DEVELOPMENT DIRECTOR  ,2
COMMUNITY LIASON AND PR ASSISTANT,COMMUNITY LIASON/PUBLIC RELATIONS ASSISTANT  ,2
COMMUNITY OUTREACH MANAGER,COMMUNITY OUTREACH MANAGER  ,2
COMMUNITY OUTREACH REP,COMMUNITY OUTREACH REPRESENTATIVE  ,2
COMMUNITY SERVICE ASSISTANT,COMMUNITY SERVICE ASSISTANT  ,2
COMMUNITY SERVICES DIRECTOR,COMMUNITY SERVICES DIRECTOR  ,2
COMMUNITY SVCS REPRESENTATIVE,COMMUNITY SERVICES REPRESENTATIVE  ,2
COMPUTER ANALYST,COMPUTER ANALYST  ,2
COMPUTER FAC OP SUPERVISOR,COMPUTER FAC OPERATIONS SUPERVISOR  ,2
COMPUTER FACILITIES OPER MGR,COMPUTER FACILITIES OPERATIONS MANAGER  ,2
COMPUTER FACILITY OP SPEC,COMPUTER FACILITY OPERATIONS SPECIALIST  ,2
CONFIG MGMT AND QLTY ASSUR ANALYST,CONFIG MANAGEMENT/QUALITY ASSURANCE ANALYST  ,2
CONGRESSIONAL AIDE AND OFFICE MGR,CONGRESSIONAL AIDE/OFFICE MANAGER  ,2
CONGRESSIONAL ASSISTANT.,CONGRESSIONAL ASSISTANT  ,2
CONGRESSIONAL LIAISON AND CASEWORK,CONGRESSIONAL LIAISON/CASEWORK  ,2
CONGRESSIONAL RELATIONS MGR,CONGRESSIONAL RELATIONS MANAGER  ,2
CONGRESSIONAL SERVICES REP.,CONGRESSIONAL SERVICES REPRESENTATIVE  ,2
CONGRESSIONAL STAFF (OVERTIME),CONGRESSIONAL STAFF   ,2
CONNECTICUT SCHEDULER,CONNECTICUT SCHEDULER  ,2
CONST SVC REP AND COMMUN REP,CONSTITUENT SERVICE REPRESENTATIVE/COMMUNITY REPRESENTATIVE  ,2
CONSTI SVCS AND COMMUNTY FIELD REP,CONSTI SERVICES/COMMUNTY FIELD DIRECTOR REPRESENTATIVE  ,2
CONSTIT LIAISON AND DIST OFFIC MGR,CONSTITUENT LIAISON/DISTRICT OFFICE MANAGER  ,2
CONSTIT SERVICES AND CASEWORKER,CONSTITUENT SERVICES/CASEWORKER  ,2
CONSTIT SVCS ASST AND FLD REP,CONSTITUENT SERVICES ASSISTANT/FIELD DIRECTOR REPRESENTATIVE  ,2
CONSTIT SVCS DIR AND OFFICE MGR,CONSTITUENT SERVICES DIRECTOR/OFFICE MANAGER  ,2
CONSTITUEN LIAISON AND CASEWORKER,CONSTITUEN LIAISON/CASEWORKER  ,2
CONSTITUENCY DIRECTOR,CONSTITUENCY DIRECTOR  ,2
CONSTITUENT AIDE,CONSTITUENT AIDE  ,2
CONSTITUENT OUTREACH COORDINAT,CONSTITUENT OUTREACH COORDINATOR  ,2
CONSTITUENT RELATIONS ASST,CONSTITUENT RELATIONS ASSISTANT  ,2
CONSTITUENT RELATIONS COORDINA,CONSTITUENT RELATIONS COORDINATOR  ,2
CONSTITUENT RELATIONS LIAISON,CONSTITUENT RELATIONS LIAISON  ,2
CONSTITUENT SERV AND OUTREACH MGR,CONSTITUENT SERVICES/OUTREACH MANAGER  ,2
CONSTITUENT SERVICE REP AND CASEWO,CONSTITUENT SERVICE REPRESENTATIVE/CASEWORKER  ,2
CONSTITUENT SERVICE AND CASE WORKE,CONSTITUENT SERVICE/CASE WORKER  ,2
CONSTITUENT SERVICES ADVISOR,CONSTITUENT SERVICES ADVISOR  ,2
CONSTITUENT SERVICES DIRECTOR AND ,CONSTITUENT SERVICES DIRECTOR/  ,2
CONSTITUENT SERVICES OFFICER,CONSTITUENT SERVICES OFFICER  ,2
CONSTITUENT SERVICES AND SPECIAL P,CONSTITUENT SERVICES/SPECIAL PROJECTS ,2
CONSTITUENT SVC COOR AND DIS SCH,CONSTITUENT SERVICE COORDINATOR/DIS SCH  ,2
CONSTITUENT SVCS ADMINISTRATOR,CONSTITUENT SERVICES ADMINISTRATOR  ,2
CONSTITUENT SVCS ASST AND COMM OUT,CONSTITUENT SERVICES ASSISTANT/COMMUNICATION OUT  ,2
CONSTITUENT SVS REP AND FIELD REP,CONSTITUENT SERVICES REPRESENTATIVE/FIELD DIRECTOR REPRESENTATIVE  ,2
CONSTITUENT SVS REP AND SENIORS AD,CONSTITUENT SERVICES REPRESENTATIVE/SENIORS AD  ,2
CONSTTUENT LIAISON AND OUTREACH,CONSTTUENT LIAISON/OUTREACH  ,2
CORRESPONDENCE ASSISTANT,CORRESPONDENCE ASSISTANT  ,2
COUNSEL AND POLICY ADVISOR,COUNSEL AND POLICY ADVISOR  ,2
COUNSEL AND SENIOR ADVISOR,COUNSEL AND SENIOR ADVISOR  ,2
COUNSEL TO CHAIR,COUNSEL TO CHAIR  ,2
COUNSEL TO RANKING REP. MEMBER,COUNSEL TO RANKING REPRESENTATIVE MEMBER  ,2
COUNSEL TO THE FULL COMMITTEE,COUNSEL TO THE FULL COMMITTEE  ,2
"COUNSEL, MINORITY, FC","COUNSEL, MINORITY, FULL COMMITTEE  ",2
"COUNSEL, SUBCOMM ON RAILROADS","COUNSEL, SUBCOMMUNICATION ON RAILROADS  ",2
"COUNSEL,WATER RESOURCES","COUNSEL,WATER RESOURCES  ",2
COUNSEL AND DISTRICT DIRECTOR,COUNSEL/DISTRICT DIRECTOR  ,2
"COUNSEL AND S.C. STAFF DIR., EO","COUNSEL/SUBCOMMITTEE STAFF DIRECTOR, EO  ",2
COUNSEL-EC DEV SUB-SHARED STAF,COUNSEL-ECONOMIC DEVELOPMENT SUBCOMMITTEE-SHARED STAFF  ,2
COUNSEL-HIGHWAYS & TRANSIT,COUNSEL-HIGHWAYS AND TRANSIT  ,2
COUNSELOR,COUNSELOR  ,2
COUNSEL-OVERSIGHT & INV,COUNSEL-OVERSIGHT AND INVESTIGATIONS  ,2
CURATORIAL RESEARCH ASSISTANT,CURATORIAL RESEARCH ASSISTANT  ,2
CUSTOMER RELATIONS MANAGER,CUSTOMER RELATIONS MANAGER  ,2
CUSTOMER SOLUTIONS SUPP SPECIA,CUSTOMER SOLUTIONS SUPPORT SPECIALIST  ,2
D.C. OFFICE COORDINATOR,D.C. OFFICE COORDINATOR  ,2
DAILY DIGEST CLERK (OVERTIME),DAILY DIGEST CLERK   ,2
DAIRY SPECIALIST,DAIRY SPECIALIST  ,2
DATABASE AND MAINFRAME TEAM LEAD,DATABASE/MAINFRAME TEAM LEAD  ,2
DC CHIEF OF STAFF,DC CHIEF OF STAFF  ,2
DC COMMUNICATIONS AND LEGIS. AIDE,DC COMMUNICATIONS/LEGISLATIVE AIDE  ,2
DC OFFICE MANAGER AND SCHEDULER,DC OFFICE MANAGER/SCHEDULER  ,2
DEFENSE POLICY DIRECTOR,DEFENSE POLICY DIRECTOR  ,2
DELAWARE COUNTY STAFF DIRECTOR,DELAWARE COUNTY STAFF DIRECTOR  ,2
DEM STAFF DIR AND CHIEF COUNSEL,DEM STAFF DIRECTOR/CHIEF COUNSEL  ,2
DEMOCRATIC STAFF ASSISTANT,DEMOCRATIC STAFF ASSISTANT  ,2
DEMOCRATIC SYSTEMS ADMINISTRAT,DEMOCRATIC SYSTEMS ADMINISTRATOR  ,2
DEP CHF COUN & DIR OF ADV & ED,DEPUTY CHIEF COUNSEL AND DIRECTOR OF ADVISOR AND EDUCATION  ,2
DEP CHIEF OF STAFF AND DIR OF ECON,DEPUTY CHIEF OF STAFF/DIRECTOR OF ECONOMIC  ,2
DEP COMM DIR & CONST SVC AIDE,DEPUTY COMMUNICATION DIRECTOR AND CONSTITUENT SERVICE AIDE  ,2
DEP DIR EXT AFFAIRS AND SPEC ASST,DEPUTY DIRECTOR EXTERNAL AFFAIRS/SPECIALIST ASSISTANT  ,2
DEP DIR OF ED & HUMAN SVS POL,DEPUTY DIRECTOR OF EDUCATION AND HUMAN SERVICES POLICY  ,2
DEP DIST. DIR AND CONSTITUENT REL.,DEPUTY DISTRICT DIRECTOR/CONSTITUENT RELATIONS  ,2
DEP FLOOR DIR AND SENIOR ADVIS,DEPUTY FLOOR DIRECTOR AND SENIOR ADVISOR  ,2
DEP FLOOR DIR FOR COALITIONS,DEPUTY FLOOR DIRECTOR FOR COALITIONS  ,2
DEP PRESS SEC & DIR SPEC MEDIA,DEPUTY PRESS SECRETARY AND DIRECTOR SPECIALIST MEDIA  ,2
DEP SAA POLICE SVCS&COMM REL,DEPUTY SADMINISTRATIVE ASSISTANT POLICE SVCS AND COMMUNICATION REL  ,2
DEP STAFF DIR AND GENERAL COUNSEL,DEPUTY STAFF DIRECTOR/GENERAL COUNSEL  ,2
"DEP. CHIEF OF STAFF, FULL COMM","DEPUTY CHIEF OF STAFF, FULL COMMUNICATION  ",2
DEP. CHIEF OF STAFF AND LEG. DIR.,DEPUTY CHIEF OF STAFF/LEGISLATIVE DIRECTOR  ,2
DEP. CHIEF OF STAFF AND LEGIS DIR.,DEPUTY CHIEF OF STAFF/LEGISLATIVE DIRECTOR  ,2
DEP. CHIEF OF STF-SPEC PROJECT,DEPUTY CHIEF OF STAFF-SPECIALIST PROJECT  ,2
DEPTY CHIEF INVESTIGATE COUNSE,DEPUTY CHIEF INVESTIGATE COUNSEL ,2
DEPTY COMM STF DIR FOR HEALTH,DEPUTY COMMUNICATION STAFF DIRECTOR FOR HEALTH  ,2
DEPTY DIR OF ADMIN & OPERATION,DEPUTY DIRECTOR OF ADMINISTRATIVE AND OPERATION  ,2
DEPUTY ADMINISTRATIVE ASST,DEPUTY ADMINISTRATIVE ASSISTANT  ,2
DEPUTY ADMINISTRATOR,DEPUTY ADMINISTRATOR  ,2
DEPUTY C.O.S. AND NATO PA COOR,DEPUTY CHIEF OF STAFF AND NATO PA COORDINATOR  ,2
DEPUTY CAO FOR OPERATIONS,DEPUTY CAO FOR OPERATIONS  ,2
DEPUTY CASEWORK DIRECTOR,DEPUTY CASEWORK DIRECTOR  ,2
DEPUTY CHF OF STF - WASH OFFIC,DEPUTY CHIEF OF STAFF - WASHINGTON OFFICE  ,2
DEPUTY CHIEF OF STAFF (S),DEPUTY CHIEF OF STAFF (S)  ,2
DEPUTY CHIEF OF STAFF AND SCHEDULE,DEPUTY CHIEF OF STAFF/SCHEDULE  ,2
DEPUTY CHIEF OF STAFF-STATUTOR,DEPUTY CHIEF OF STAFF-STATUTOR  ,2
DEPUTY CHIEF OF STF AND PROF STAFF,DEPUTY CHIEF OF STAFF/PROFESSIONAL STAFF MEMBER ,2
DEPUTY CLERK AND LEGIS ASSISTANT,DEPUTY CLERK/LEGISLATIVE ASSISTANT  ,2
DEPUTY COALITIONS DIRECTOR,DEPUTY COALITIONS DIRECTOR  ,2
DEPUTY COMM DIRECTOR,DEPUTY COMMUNICATION DIRECTOR  ,2
DEPUTY COMMUICATIONS DIRECTOR,DEPUTY COMMUICATIONS DIRECTOR  ,2
DEPUTY COUNSEL,DEPUTY COUNSEL  ,2
DEPUTY DIR LEG OPERATIONS,DEPUTY DIRECTOR LEGISLATIVE OPERATIONS  ,2
DEPUTY DIR OF WORKFORCE POLICY,DEPUTY DIRECTOR OF WORKFORCE POLICY  ,2
DEPUTY DIRECTOR - MEMBER SVCS,DEPUTY DIRECTOR - MEMBER SERVICES  ,2
DEPUTY DIRECTOR OF DC OFFICE,DEPUTY DIRECTOR OF DC OFFICE  ,2
DEPUTY DIRECTOR OF MEMBER SVCS,DEPUTY DIRECTOR OF MEMBER SERVICES  ,2
DEPUTY DIRECTOR OF SPECIAL OPS,DEPUTY DIRECTOR OF SPECIAL OPERATIONS  ,2
"DEPUTY DIRECTOR, ACCOUNTING","DEPUTY DIRECTOR, ACCOUNTING  ",2
DEPUTY DIST DIR AND SCHEDULER,DEPUTY DISTRICT DIRECTOR/ SCHEDULER  ,2
DEPUTY DISTRICT CHIEF OF STAFF,DEPUTY DISTRICT CHIEF OF STAFF  ,2
DEPUTY DISTRICT DIRECTOR (OTHER COMPENSATION),DEPUTY DISTRICT DIRECTOR   ,2
DEPUTY DISTRICT REPRESENTATIVE,DEPUTY DISTRICT REPRESENTATIVE  ,2
DEPUTY FIELD DIRECTOR,DEPUTY FIELD DIRECTOR DIRECTOR  ,2
DEPUTY FIELD REPRESENTATIVE,DEPUTY FIELD DIRECTOR REPRESENTATIVE  ,2
DEPUTY FLOOR ASSISTANT,DEPUTY FLOOR ASSISTANT  ,2
DEPUTY FLOOR DIRECTOR,DEPUTY FLOOR DIRECTOR  ,2
DEPUTY GENERAL COUNSEL,DEPUTY GENERAL COUNSEL  ,2
DEPUTY HISTORIAN OF THE HOUSE,DEPUTY HISTORIAN OF THE HOUSE  ,2
"DEPUTY IG, ADVISORY &ADMIN SVC","DEPUTY INSPECTOR GENERAL, ADVISORY  AND ADMINISTRATIVE SERVICE  ",2
"DEPUTY IG, AUDIT & INVESTIGATN","DEPUTY INSPECTOR GENERAL, AUDIT AND INVESTIGATIONS  ",2
DEPUTY INFOMATION TECH. DIRECT,DEPUTY INFOMATION TECHNOLOGY DIRECTOR  ,2
DEPUTY INFORMATION OFFICER,DEPUTY INFORMATION OFFICER  ,2
DEPUTY LAW REVISION COUNSEL,DEPUTY LAW REVISION COUNSEL  ,2
DEPUTY OVERSIGHT COUNSEL,DEPUTY OVERSIGHT COUNSEL  ,2
DEPUTY OVERSIGHT DIRECTOR,DEPUTY OVERSIGHT DIRECTOR  ,2
DEPUTY PARLIAMENTARIAN,DEPUTY PARLIAMENTARIAN  ,2
DEPUTY PRESS SEC AND CASEWORKER,DEPUTY PRESS SECRETARY/CASEWORKER  ,2
DEPUTY PRESS SEC AND SR. LEG. ASST,DEPUTY PRESS SECRETARY/SENIOR  LEGISLATIVE ASSISTANT  ,2
DEPUTY PRESS SECRETARY AND WRITER,DEPUTY PRESS SECRETARY/WRITER  ,2
DEPUTY SERGEANT AT ARMS,DEPUTY SERGEANT AT ARMS  ,2
DEPUTY SPEECHWRITER,DEPUTY SPEECHWRITER  ,2
DEVELOPMENT AND PROJECTS ASST,DEVELOPMENT AND PROJECTS ASSISTANT  ,2
DEVELOPMENT DIRECTOR,DEVELOPMENT DIRECTOR  ,2
DIR COMM & COMMUNITY OUTREACH,DIRECTOR COMMUNICATION AND COMMUNITY OUTREACH  ,2
DIR CONSTITUENT SRVC AND SCHEDULER,DIRECTOR CONSTITUENT SERVICES/SCHEDULER  ,2
DIR EMERGENCY CONT PREP,DIRECTOR EMERGENCY CONT PREPRESENTATIVE  ,2
DIR INFO SYS SECURITY AND CISO,DIRECTOR INFORMATION SYSTEMS SECURITY/CISO  ,2
DIR INTRGOV AFR AND INDIANA COM DR,DIRECTOR INTERGOVERNMENTAL AFFAIRS/INDIANA COMMUNICATIONS DIRECTOR  ,2
"DIR LEGIS CORR, TECH & WEB ADM","DIRECTOR LEGISLATIVE CORRESPONDENT, TECHNICAL AND WEB ADMINISTRATIVE  ",2
DIR MANAGEMENT ADVISORY SVCS,DIRECTOR MANAGEMENT ADVISORY SERVICES  ,2
DIR OF ADMIN & EXTERNAL AFFAIR,DIRECTOR OF ADMINISTRATIVE AND EXTERNAL AFFAIR  ,2
DIR OF COALITIONS AND GENERAL COUN,DIRECTOR OF COALITIONS/GENERAL COUNSEL  ,2
DIR OF COMM DEV.,DIRECTOR OF COMMUNICATION DEVELOPMENT  ,2
DIR OF COMMUNCTNS & SPEC PROJE,DIRECTOR OF COMMUNICATIONS AND SPECIALIST PROJECTS  ,2
DIR OF CONSTITUENT RELATIONS,DIRECTOR OF CONSTITUENT RELATIONS  ,2
DIR OF EDU & HUMAN SERV POLICY,DIRECTOR OF EDUCATION AND HUMAN SERVICES POLICY  ,2
DIR OF GOV BUS & COMMUN AFFAIR,DIRECTOR OF GOVERNMENT BUS AND COMMUNICATIONS AFFAIR  ,2
DIR OF INFO TECHNOLOGY-F.C.,DIRECTOR OF INFORMATION TECHNOLOGY-FULL COMMITTEE  ,2
DIR OF INFOR SVCS,DIRECTOR OF INFORMATION SERVICES  ,2
DIR OF LEGISLATION & COMMUNICA,DIRECTOR OF LEGISLATION AND COMMUNICATIONS  ,2
DIR OF MBR OUTREACH-VICE CHAIR,DIRECTOR OF MEMBER OUTREACH-VICE CHAIR  ,2
DIR OF MULTIMEDIA COMM AND TEC,DIRECTOR OF MULTIMEDIA COMMUNICATION AND TEC  ,2
DIR OF POLICY & OUTREACH-F.C.,DIRECTOR OF POLICY AND OUTREACH-FULL COMMITTEE  ,2
DIR OF SCHEDLNG & SPEC EVENTS,DIRECTOR OF SCHEDLNG AND SPECIALIST EVENTS  ,2
DIR OF SCHEDULING & NEW MEDIA,DIRECTOR OF SCHEDULING AND NEW MEDIA  ,2
DIR OF SPEC PROJ AND FLD REP,DIRECTOR OF SPECIALIST PROJECT AND FIELD DIRECTOR REPRESENTATIVE  ,2
DIR PROJECTS & OUTREACH,DIRECTOR PROJECTS AND OUTREACH  ,2
DIR SPECIAL PROJ. AND MEMBER SERV.,DIRECTOR SPECIAL PROJECTS/MEMBER SERVICES  ,2
"DIR, DIST PLANNING & OUTREACH","DIRECTOR, DISTRICT PLANNING AND OUTREACH  ",2
"DIR, IDENTIFICATION SERVICES","DIRECTOR, IDENTIFICATION SERVICES  ",2
"DIR, INFO SYSTEMS AUDITS","DIRECTOR, INFORMATION SYSTEMS AUDITS  ",2
"DIR, INFOSYS, QUALITY & CONTR","DIRECTOR, INFOSYS, QUALITY AND CONTR  ",2
"DIR, OFFICE OF EMPLOYEE ASSIST","DIRECTOR, OFFICE OF EMPLOYEE ASSISTANT  ",2
"DIR, OFFICE OF MEM & COMM SRVC","DIRECTOR, OFFICE OF MEMBER AND COMMUNICATION SERVICES  ",2
"DIR, PERFORMANCE & FIN AUDITS","DIRECTOR, PERFORMANCE AND FINANCIAL AUDITS  ",2
DIR. INTRAGOVERNMENT RELATIONS,DIRECTOR INTRAGOVERNMENT RELATIONS  ,2
DIR. MIL & INTEL AFRS AND DIST DIR,DIRECTOR MILITARY AND INTELLIGENCE AFFAIRS/DISTRICT DIRECTOR  ,2
DIR. OF CONSTITUENT AFFAIRS,DIRECTOR OF CONSTITUENT AFFAIRS  ,2
DIR. OF FINANCIAL DISC. REVIEW,DIRECTOR OF FINANCIAL DISCLOSURE REVIEW  ,2
DIR. OF LEGISLATIVE OPERATIONS,DIRECTOR OF LEGISLATIVE OPERATIONS  ,2
DIR. OFFICE SUPPLY & GIFT SHOP,DIRECTOR OFFICE SUPPLY AND GIFT SHOP  ,2
"DIR., SYSTEMS AND OPERATIONS","DIRECTOR, SYSTEMS AND OPERATIONS  ",2
DIR.MEM.SERV AND SR. ADV,DIRECTOR MEMBER SERVICES/SENIOR  ADVISOR  ,2
DIRECTOR BUDGET POLICY,DIRECTOR BUDGET POLICY  ,2
DIRECTOR BUSINESS CONTINUITY,DIRECTOR BUSINESS CONTINUITY  ,2
DIRECTOR ENTERPRISE OPERATIONS,DIRECTOR ENTERPRISE OPERATIONS  ,2
DIRECTOR FACILITIES MANAGEMENT,DIRECTOR FACILITIES MANAGEMENT  ,2
DIRECTOR FINANCIAL SOLUTIONS,DIRECTOR FINANCIAL SOLUTIONS  ,2
DIRECTOR FURNISHINGS,DIRECTOR FURNISHINGS  ,2
DIRECTOR MEMBERS’ SERVICES,DIRECTOR MEMBERS' SERVICES  ,2
DIRECTOR OF ADMIN AND SCHEDULER,DIRECTOR OF ADMIN/SCHEDULER  ,2
DIRECTOR OF BUDGET REVIEW,DIRECTOR OF BUDGET REVIEW  ,2
DIRECTOR OF CASEWORK,DIRECTOR OF CASEWORK  ,2
DIRECTOR OF COALITIONS,DIRECTOR OF COALITIONS  ,2
DIRECTOR OF COMM FACILITIES AND TV,DIRECTOR OF COMMUNICATION FACILITIES/TV  ,2
DIRECTOR OF CONSTITUENT CORRE,DIRECTOR OF CONSTITUENT CORRE  ,2
DIRECTOR OF CONSTITUTENT SVCS,DIRECTOR OF CONSTITUTENT SERVICES  ,2
DIRECTOR OF DISTRICT RELATIONS,DIRECTOR OF DISTRICT RELATIONS  ,2
DIRECTOR OF EXTERNAL RELATIONS,DIRECTOR OF EXTERNAL RELATIONS  ,2
DIRECTOR OF FLOOR OPERATIONS,DIRECTOR OF FLOOR OPERATIONS  ,2
DIRECTOR OF FLOOR OPS,DIRECTOR OF FLOOR OPERATIONS  ,2
DIRECTOR OF IMMIGRATION AFFAIR,DIRECTOR OF IMMIGRATION AFFAIR  ,2
DIRECTOR OF INFORMATION TECHNO,DIRECTOR OF INFORMATION TECHNO  ,2
DIRECTOR OF INTERNET COMMS,DIRECTOR OF INTERNET COMMUNICATIONS  ,2
DIRECTOR OF LEGISLATIVE AFFAIR,DIRECTOR OF LEGISLATIVE AFFAIR  ,2
DIRECTOR OF ONLINE COMMUNICA,DIRECTOR OF ONLINE COMMUNICATIONS  ,2
DIRECTOR OF OPS AND EXECUTIVE ASST,DIRECTOR OF OPERATIONS/EXECUTIVE ASSISTANT  ,2
DIRECTOR OF PERSONNEL,DIRECTOR OF PERSONNEL  ,2
DIRECTOR OF PROJECTS,DIRECTOR OF PROJECTS  ,2
DIRECTOR OF PROTOCOL,DIRECTOR OF PROTOCOL  ,2
DIRECTOR OF PUBLIC AFFAIRS,DIRECTOR OF PUBLIC AFFAIRS  ,2
DIRECTOR OF PUBLIC RELATIONS,DIRECTOR OF PUBLIC RELATIONS  ,2
DIRECTOR OF RESEARCH,DIRECTOR OF RESEARCH  ,2
DIRECTOR OF SCHEDULING AND OUTREAC,DIRECTOR OF SCHEDULING/OUTREAC  ,2
DIRECTOR OF SPECIAL OPERATIONS,DIRECTOR OF SPECIAL OPERATIONS  ,2
DIRECTOR OF STRATEGIC PLANNING,DIRECTOR OF STRATEGIC PLANNING  ,2
DIRECTOR OF WEB COMMUNICATIONS,DIRECTOR OF WEB COMMUNICATIONS  ,2
DIRECTOR OF WORKFORCE POLICY,DIRECTOR OF WORKFORCE POLICY  ,2
DIRECTOR PAYROLL AND BENEFITS,DIRECTOR PAYROLL AND BENEFITS  ,2
DIRECTOR SENIOR CITIZEN AFFAIR,DIRECTOR SENIOR CITIZEN AFFAIR  ,2
DIRECTOR TECH SUPPORT,DIRECTOR TECHNICAL SUPPORT  ,2
"DIRECTOR, ADMIN & OPERATIONS","DIRECTOR, ADMINISTRATIVE AND OPERATIONS  ",2
"DIRECTOR, ASIAN COMM RELATIONS","DIRECTOR, ASIAN COMMUNICATION RELATIONS  ",2
"DIRECTOR, LOGISTICS","DIRECTOR, LOGISTICS  ",2
"DIRECTOR, SPECIAL EVENTS AND PROTO","DIRECTOR, SPECIAL EVENTS/PROTO  ",2
"DIRECTOR, SPECIAL PROJECTS","DIRECTOR, SPECIAL PROJECTS  ",2
"DIRECTOR, TRAINING & DEVLOPMEN","DIRECTOR, TRAINING AND DEVLOPMEN  ",2
"DIRECTOR, WOUNDED WARRIOR PGM","DIRECTOR, WOUNDED WARRIOR PGM  ",2
DIRECTOR AND ECONOMIC DEVELOPMENT,DIRECTOR/ECONOMIC DEVELOPMENT  ,2
DIRECTOR-HOUSE CHILD CARE CNTR,DIRECTOR-HOUSE CHILD DIRECTOR CARE CENTER  ,2
DIR-HOUSE RECORDING STUDIO,DIRECTOR-HOUSE RECORDING STUDIO  ,2
DIR-PROCUREMENT MANAGEMENT,DIRECTOR-PROCUREMENT MANAGEMENT  ,2
DISRICT SENIOR POLICY ADVISOR,DISTRICT SENIOR POLICY ADVISOR  ,2
DIST AIDE-PERSONNEL AND BUDGET DIR,DISTRICT AIDE-PERSONNEL/BUDGET DIRECTOR  ,2
DIST COORDINATOR EAST REGION,DISTRICT COORDINATOR EAST REGION  ,2
DIST DIR OF CONSTIT SVCS,DISTRICT DIRECTOR OF CONSTITUENT SERVICES  ,2
"DIST DIR, MILITARY AFFAIRS","DISTRICT DIRECTOR, MILITARY AFFAIRS  ",2
